City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Apodi,BR,92.05,clear sky,-5.6642,-37.7989,Hotel Passeio
4,Puerto Ayora,EC,73.54,overcast clouds,-0.7393,-90.3518,Hostal La Mirada De Solitario George
6,Rawson,AR,73.67,clear sky,-43.3002,-65.1023,Hotel Deportivo
9,Faanui,PF,81.03,light rain,-16.4833,-151.75,Oa Oa Lodge
10,Saint-Philippe,RE,80.19,broken clouds,-21.3585,55.7679,Le Baril
17,Castro,BR,77.41,overcast clouds,-24.7911,-50.0119,Hotel Central Palace
19,Caravelas,BR,84.97,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
20,Rikitea,PF,78.01,light rain,-23.1203,-134.9692,Chez Bianca & Benoit
24,Cape Town,ZA,81.1,few clouds,-33.9258,18.4232,Townhouse Hotel
25,Cap Malheureux,MU,80.47,scattered clouds,-19.9842,57.6142,Cape Garden
28,Lorengau,PG,81.84,overcast clouds,-2.0226,147.2712,Seeadler Bay Hotel
31,Sao Filipe,CV,73.85,clear sky,14.8961,-24.4956,Bela Vista
33,Victoria,HK,75.25,clear sky,22.2855,114.1577,四季酒店 Four Seasons Hotel
37,Vaini,TO,78.96,moderate rain,-21.2,-175.2,Keleti International Resort
40,Porto Novo,BJ,89.42,few clouds,6.4965,2.6036,Hôtel 6500 CFA
42,Cidreira,BR,81.01,broken clouds,-30.1811,-50.2056,Hotel Castelo
43,Jardim,BR,81.64,scattered clouds,-21.4803,-56.1381,Hotel Uchôa
49,Hithadhoo,MV,81.18,overcast clouds,-0.6,73.0833,Pebbles Inn
54,Sampit,ID,76.87,overcast clouds,-2.5333,112.95,Hotel Sultan
63,Eluru,IN,75.29,overcast clouds,16.7,81.1,Grand Aryas
64,Iquitos,PE,78.84,clear sky,-3.7481,-73.2472,Marfil del Amazonas
66,Bredasdorp,ZA,77.86,clear sky,-34.5322,20.0403,Victoria Hotel
75,Ko Samui,TH,82.31,few clouds,9.5357,99.9357,Nathon Residence
76,Vanimo,PG,78.21,overcast clouds,-2.6741,141.3028,CBC Guesthouse
83,Atuona,PF,77.31,overcast clouds,-9.8,-139.0333,Pearl Resort
87,Tocopilla,CL,71.53,few clouds,-22.092,-70.1979,hotel Isidora
90,Bengkulu,ID,77.4,scattered clouds,-3.8004,102.2655,Dena Hotel
91,Sibolga,ID,76.98,heavy intensity rain,1.7427,98.7792,Hotel Prima Indah
92,Hermanus,ZA,75.79,clear sky,-34.4187,19.2345,Aloe guest house
94,Pangai,TO,78.91,light rain,-19.8,-174.35,Billy's Place
96,Mahebourg,MU,82.69,scattered clouds,-20.4081,57.7,Grand Bel Air
101,Bosaso,SO,78.78,clear sky,11.2842,49.1816,Bosaso hotel
104,Alice Springs,AU,88.21,scattered clouds,-23.7,133.8833,Aurora Alice Springs
105,Vao,NC,76.87,scattered clouds,-22.6667,167.4833,Nataiwatch
108,Pisco,PE,70.02,mist,-13.7,-76.2167,La Portada
110,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
111,Hilo,US,72.28,few clouds,19.7297,-155.09,Dolphin Bay Hotel
117,Hualmay,PE,71.62,broken clouds,-11.0964,-77.6139,Hotel Mi Choacan
120,Mahibadhoo,MV,79.72,broken clouds,3.7833,72.9667,Coral View Inn
121,Dong Hoi,VN,71.64,clear sky,17.4833,106.6,Nhà hàng Amor Palace
122,Quatre Cocos,MU,82.51,scattered clouds,-20.2078,57.7625,Horisun
125,Negombo,LK,78.85,few clouds,7.2083,79.8358,Choys Waterfront Residence
137,Port Lincoln,AU,73.38,clear sky,-34.7333,135.8667,Boston Hotel
150,Ambovombe,MG,80.78,clear sky,-25.1667,46.0833,La source
154,Isangel,VU,76.33,clear sky,-19.55,169.2667,Tanna Lodge
156,Cayenne,GF,77.04,broken clouds,4.9333,-52.3333,Central Hôtel
165,Bubaque,GW,77.68,clear sky,11.2833,-15.8333,Chez Julio
171,Kupang,ID,77.58,few clouds,-10.1667,123.5833,BIB & LANG GUEST HOUSE
177,Saldanha,ZA,78.85,scattered clouds,-33.0117,17.9442,Hoedjesbaai
194,Paka,MY,78.73,scattered clouds,4.6374,103.4368,Paka Inn
196,Mogadishu,SO,84.07,clear sky,2.0371,45.3438,SYL Hotel
200,Limbang,MY,80.71,overcast clouds,4.75,115.0,Comfort Hotel
201,Puerto Madryn,AR,74.3,clear sky,-42.7692,-65.0385,Hotel Gran Palace
202,Georgetown,MY,84.15,few clouds,5.4112,100.3354,Page 63 hostel
203,Santa Cruz,BO,78.85,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
209,Honiara,SB,77.32,overcast clouds,-9.4333,159.95,King Solomon Hotel
210,Barreirinhas,BR,85.14,overcast clouds,-2.7469,-42.8264,Pousada Matriz
214,Sao Jose Da Coroa Grande,BR,83.97,scattered clouds,-8.8978,-35.1478,Hotel do Sol
216,Tuy Hoa,VN,73.96,broken clouds,13.0833,109.3,Vinh Tuan Hotel
217,Alta Floresta,BR,71.02,light rain,-9.8756,-56.0861,Villas Hotel
221,Vila Velha,BR,87.75,scattered clouds,-20.3297,-40.2925,Hotel Prainha
222,Miramar,US,74.01,clear sky,25.9873,-80.2323,El Palacio Sports Hotel
226,Mtwara,TZ,87.13,scattered clouds,-10.2667,40.1833,Newala Guest House
227,Grand Baie,MU,82.87,scattered clouds,-20.0182,57.5802,Safari
228,Mbanza-Ngungu,CD,76.05,light rain,-5.25,14.8667,auberge la rose
239,Aquiraz,BR,92.44,scattered clouds,-3.9014,-38.3911,Pousada tia Fabíola
241,Langsa,ID,74.5,overcast clouds,4.4683,97.9683,Harmoni Hotel
243,Victor Harbor,AU,76.68,clear sky,-35.5667,138.6167,Hotel Victor
249,Avarua,CK,75.25,overcast clouds,-21.2078,-159.775,Paradise Inn
251,Kalmunai,LK,75.96,overcast clouds,7.4167,81.8167,Saji new food
261,Kavieng,PG,81.75,overcast clouds,-2.5744,150.7967,Kavieng Hotel
263,Mount Isa,AU,80.37,broken clouds,-20.7333,139.5,Ibis Styles
265,Buchanan,LR,86.43,overcast clouds,5.8808,-10.0467,Phillipmena's Guesthouse
267,Touros,BR,86.09,few clouds,-5.1989,-35.4608,Pousada Atlântico
269,Manokwari,ID,79.86,overcast clouds,-0.8667,134.0833,Hotel Arfak
271,Salalah,OM,75.13,few clouds,17.0151,54.0924,Muscat International Hotel
272,Anori,BR,80.51,overcast clouds,-3.7728,-61.6442,NOVO HOTEL
273,Pochutla,MX,71.82,clear sky,15.7432,-96.4661,Posada San Jose
276,Cordoba,AR,75.99,scattered clouds,-31.4135,-64.1811,Hotel Garden
286,Takoradi,GH,85.73,few clouds,4.8845,-1.7554,Hillcrest
287,George,ZA,70.34,few clouds,-33.963,22.4617,Oakhurst Hotel
288,Santa Fe,AR,86.02,light rain,-31.6333,-60.7,Intersur Hotel
291,Geraldton,AU,70.21,scattered clouds,-28.7667,114.6,Ocean Centre Hotel
296,Souillac,MU,82.78,broken clouds,-20.5167,57.5167,Hotel SkylineInn
302,Rio Grande,BR,73.51,light rain,-32.035,-52.0986,Hotel Vila Moura Executivo
303,Chuy,UY,72.88,overcast clouds,-33.6971,-53.4616,Alerces
309,Mayumba,GA,80.87,overcast clouds,-3.432,10.6554,Résidence Hôtelière Fabso
310,Bull Savanna,JM,75.36,few clouds,17.8868,-77.5902,Junction Guest House
312,Zorritos,PE,78.22,overcast clouds,-3.6805,-80.6782,Hostal Zorritos Plaza
316,Bodden Town,KY,80.01,few clouds,19.2833,-81.25,Turtle Nest Inn
317,Atar,MR,82.09,clear sky,20.5169,-13.0499,فندق سكليل
320,Matara,LK,75.47,scattered clouds,5.9485,80.5353,Villa Palm Breeze
326,Banda Aceh,ID,79.12,heavy intensity rain,5.5577,95.3222,Hotel 61
328,Eyl,SO,79.3,overcast clouds,7.9803,49.8164,فندق ايل دابي
332,Axim,GH,87.33,clear sky,4.8699,-2.2405,Axim Beach Hotel
336,Cootamundra,AU,74.95,few clouds,-34.65,148.0333,Globe Hotel
339,Pontes E Lacerda,BR,83.57,overcast clouds,-15.2261,-59.3353,Hotel Avenida
351,San Cristobal,VE,76.98,broken clouds,7.7669,-72.225,Terra Sur
354,Porto Velho,BR,71.65,moderate rain,-8.7619,-63.9039,Hotel Slaviero Essential Porto Velho
356,Pitimbu,BR,84.31,broken clouds,-7.4706,-34.8086,Pousada Brisa Mar
363,Plettenberg Bay,ZA,70.7,scattered clouds,-34.0527,23.3716,Milkwood Manor
373,Vallenar,CL,74.16,clear sky,-28.5708,-70.7581,Hotel del Marqués
375,Moron,AR,83.97,clear sky,-34.6534,-58.6198,La Esquina
379,Port Elizabeth,ZA,77.31,clear sky,-33.918,25.5701,Waterford Hotel
382,Belo Jardim,BR,87.53,clear sky,-8.3356,-36.4242,Jardim Plaza Hotel
385,Cockburn Town,TC,77.07,broken clouds,21.4612,-71.1419,The Salt Raker Inn
387,Aden,YE,78.21,overcast clouds,12.7794,45.0367,فندق قصر الجزيرة
388,Mana,GF,79.72,overcast clouds,5.6592,-53.7767,Le Samana
389,Clarence Town,AU,72.86,overcast clouds,-32.5833,151.7833,Erringhi Hotel
393,Denpasar,ID,82.06,scattered clouds,-8.65,115.2167,Hotel Candra Adiguna
397,Soc Trang,VN,75.34,overcast clouds,9.6033,105.98,Khách sạn Khánh Hưng
399,Charlestown,AU,72.73,overcast clouds,-32.95,151.6667,Warners Bay Hotel
400,Richards Bay,ZA,88.43,scattered clouds,-28.783,32.0377,Protea Hotel
403,Riberalta,BO,83.79,overcast clouds,-10.9833,-66.1,Hotel Jomali
408,Puerto Escondido,MX,75.43,clear sky,15.85,-97.0667,Hotel Barlovento
409,San Matias,BO,84.81,overcast clouds,-16.3667,-58.4,Hotel San Jose
418,Luganville,VU,78.64,broken clouds,-15.5333,167.1667,Beachfront Resort
429,Meulaboh,ID,77.65,overcast clouds,4.1363,96.1285,Hotel Meuligou
442,Mitsamiouli,KM,83.01,few clouds,-11.3847,43.2844,Hotel le Paradis
456,Garissa,KE,94.12,clear sky,-0.4536,39.6401,Hiddig Hotel
459,Miri,MY,77.43,overcast clouds,4.4148,114.0089,Kenyalang Suites Miri
464,Ellisras,ZA,92.89,clear sky,-23.6649,27.7443,GPS Hotel
476,Kendari,ID,77.27,few clouds,-3.945,122.4989,City Hotel Kendari
477,Mackay,AU,73.69,light rain,-21.15,149.2,Mackay Oceanside Central Apartment Hotel
484,Dzaoudzi,YT,76.89,light rain,-12.7887,45.2699,2.0 hôtel
486,Gilbues,BR,88.84,broken clouds,-9.8317,-45.3439,Hotel Camapua
488,Kloulklubed,PW,72.1,overcast clouds,7.0419,134.2556,The Adventures Inn
498,Agadir,MA,79.25,clear sky,30.4202,-9.5982,Atlantic
500,Brazzaville,CG,87.51,overcast clouds,-4.2658,15.2832,BLISS HOTEL
502,Birnin Kebbi,NG,87.66,overcast clouds,12.4539,4.1975,Fab Hotel
504,Hirara,JP,73.27,overcast clouds,24.8,125.2833,古謝そば屋
505,Unai,BR,80.69,overcast clouds,-16.3575,-46.9061,Hotel Fazenda Curva do Rio
509,Manta,EC,80.38,broken clouds,-0.95,-80.7333,La Gaviota
512,Nova Olimpia,BR,81.34,overcast clouds,-14.7972,-57.2881,Olímpia Hotel
518,Mecca,SA,73.53,overcast clouds,21.4267,39.8261,Rehab Al Marwa Hotel 1
519,Tual,ID,82.99,broken clouds,-5.6667,132.75,Suita
528,Inirida,CO,77.31,light rain,3.8653,-67.9239,Residencias El Turista del Guainia
533,Gopalpur,IN,72.9,clear sky,19.2667,84.9167,Swosti
534,Santiago,CL,80.29,clear sky,-33.4569,-70.6483,apart arturo prat
535,Barinas,VE,81.45,overcast clouds,8.6226,-70.2075,Hotel Comercio
541,Kribi,CM,84.7,overcast clouds,2.95,9.9167,Mont neyanc
547,Sulya,IN,71.02,overcast clouds,12.5667,75.3833,Southern Residency
553,Sao Joao Da Barra,BR,86.09,few clouds,-21.6403,-41.0511,Pousada Mediterrâneo
561,Sadao,TH,78.62,heavy intensity rain,6.6388,100.4234,S.T. Hotel
563,Maceio,BR,87.24,broken clouds,-9.6658,-35.7353,Maceió Hostel e Pousada
566,Port Moresby,PG,76.51,overcast clouds,-9.4431,147.1797,The Sanctuary Hotel and Spa
577,Puerto Leguizamo,CO,78.64,broken clouds,-0.1934,-74.7819,Hotel Girasoles
579,Bundaberg,AU,70.21,light rain,-24.85,152.35,Young Australian Hotel
581,Sinnamary,GF,79.21,overcast clouds,5.3833,-52.95,Hôtel du fleuve
583,La Asuncion,VE,78.71,clear sky,11.0333,-63.8628,Hotel La Ciudad
590,Niamey,NE,85.03,overcast clouds,13.5137,2.1098,Redidence Croix du Sud
592,Itarema,BR,87.8,overcast clouds,-2.9248,-39.9167,Pousada Oásis
593,Padang,ID,77.05,moderate rain,-0.9492,100.3543,losmen Surya
598,Bangkalan,ID,76.95,broken clouds,-7.0455,112.7351,Ningrat traditional hotel
600,Praya,CV,77.54,few clouds,14.9215,-23.5087,Casa Sodadi
608,Puerto Ayacucho,VE,81.64,broken clouds,5.6639,-67.6236,Hotel VENETUR Amazonas
619,Santa Isabel Do Rio Negro,BR,77.86,overcast clouds,-0.4139,-65.0192,Hotel Maikon
623,Sambava,MG,80.08,light rain,-14.2667,50.1667,Royal Sava Hôtel
629,Oistins,BB,82.49,scattered clouds,13.0667,-59.5333,The Abidah By Accra
632,Lazaro Cardenas,MX,71.42,clear sky,17.9583,-102.2,Hotel Sol del Pacífico
635,Cozumel,MX,76.06,clear sky,20.5083,-86.9458,Hotel Isla Esmeralda
639,Tagusao,PH,78.76,overcast clouds,9.1924,117.8141,"Shaman's Breath- Beach, Bed & Breakfast"
644,Yulara,AU,86.16,clear sky,-25.2406,130.9889,Outback Pioneer Hotel & Lodge
646,Maua,BR,80.89,overcast clouds,-23.6678,-46.4614,Go Inn Santo André
649,Formosa,AR,71.58,light rain,-26.1775,-58.1781,Hotel Hostal del Rey
652,Nuevitas,CU,74.34,clear sky,21.5453,-77.2644,Hotel Caonaba
662,Keelung,TW,75.06,overcast clouds,25.1283,121.7419,華國商務飯店
663,Omboue,GA,82.49,light rain,-1.5746,9.2618,Georges Faustin Aurat
668,Martapura,ID,77.09,scattered clouds,-3.4167,114.85,Q-Hotel Grand Dafam
671,Upata,VE,74.98,overcast clouds,8.0086,-62.3989,Hotel Garibardi
681,Namibe,AO,78.15,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
684,Cairns,AU,78.06,light rain,-16.9167,145.7667,Cairns Queens Court Accommodation
685,Namatanai,PG,79.03,light rain,-3.6667,152.4333,Namatanai Hotel
688,Kawalu,ID,73.17,overcast clouds,-7.3817,108.2082,Hotel Surya
692,Sao Gabriel Da Cachoeira,BR,78.31,overcast clouds,-0.1303,-67.0892,Casa de Hóspedes do CFRN/5ºBIS
701,Mildura,AU,81.64,clear sky,-34.2,142.15,Chaffey Motor Inn
702,Trincomalee,LK,76.59,overcast clouds,8.5711,81.2335,Silver Star Inn
